# Constructed from biom file									
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae	0	0.000369549	0	0.000759071	0	0	0	0	Intrasporangiaceae
d__Bacteria;p__Elusimicrobiota;c__Lineage_IIc;o__Lineage_IIc;f__Lineage_IIc	0	0.000184775	0.000285551	0	0	0	0	0	Lineage_IIc
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Thermosynechococcales;f__Thermosynechococcaceae	0	0.000369549	0	0.000151814	0	0	0	0	Thermosynechococcaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae	0	0.000184775	0.000571102	0.000455443	0	0	0	0	Methyloligellaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae	0	0.000184775	0	0.000151814	0	0	0	0	Hyphomonadaceae
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae	0	0.000739098	0	0.000151814	0	0	0	0	Nostocaceae
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__LD1-PB3;f__LD1-PB3	0	0.000184775	0.000571102	0.000455443	0	0	0	0	LD1-PB3
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae	0	0.000184775	0.000856653	0.000759071	0	0	0	0	Myxococcaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	0	0.000369549	0.000285551	0.000151814	0	0	0	0	Peptostreptococcaceae
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;__	0	0.000184775	0.001142204	0.000303628	0	0	0	0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;__
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Synechococcales_Incertae_Sedis	0	0.000184775	0	0.000455443	0	0	0	0	Synechococcales_Incertae_Sedis
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Roizmanbacteria;f__Candidatus_Roizmanbacteria	0	0.000554324	0.000285551	0.000151814	0	0	0	0	Candidatus_Roizmanbacteria
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae	0	0.000554324	0.000856653	0.000759071	0	0	0	0	Competibacteraceae
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured	0	0.000369549	0.000856653	0.000303628	0	0	0	0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae	0	0.000184775	0.000856653	0.000151814	0	0	0	0	Ignavibacteriaceae
d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__Sericytochromatia;f__Sericytochromatia	0	0.001108647	0	0.002277213	0	0	0	0	Sericytochromatia
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Oxyphotobacteria_Incertae_Sedis;f__Unknown_Family	0	0.000554324	0	0.000151814	0	0	0	0	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Oxyphotobacteria_Incertae_Sedis;f__Unknown_Family
d__Bacteria;p__Acidobacteriota;c__Subgroup_11;o__Subgroup_11;f__Subgroup_11	0	0.000184775	0	0.000151814	0	0	0	0	Subgroup_11
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Rubritaleaceae	0	0.000184775	0	0.00470624	0	0	0	0	Rubritaleaceae
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae	0	0.000554324	0.000285551	0.000455443	0	0	0	0	Xenococcaceae
d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadales	0	0.000184775	0	0.000607257	0	0	0	0	Armatimonadales
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae	0	0.000554324	0.000571102	0.000759071	0	0	0	0	Pirellulaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	0	0.000184775	0.000285551	0.005161682	0	0	0	0	Ruminococcaceae
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae	0	0.000184775	0.000285551	0	0	0	0	0	Caldilineaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	0	0.000369549	0.000285551	0.000910885	0.015151515	0	0	0	Caulobacteraceae
d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae	0	0.000369549	0	0.000303628	0	0	0	0	Nannocystaceae
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae	0	0.000184775	0	0	0	0	0	0.5	Dermacoccaceae
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__MSBL9;f__SM23-30	0	0.000184775	0.000571102	0.000151814	0	0	0	0	SM23-30
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZB30;f__SZB30	0	0.000184775	0	0.000151814	0	0	0	0	SZB30
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermatophilaceae	0	0.000184775	0	0.000151814	0	0	0	0	Dermatophilaceae
d__Bacteria;p__FCPU426;c__FCPU426;o__FCPU426;f__FCPU426	0	0.000369549	0	0	0	0	0	0	FCPU426
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae	0	0.000184775	0.001998858	0.000303628	0	0	0	0	Desulfococcaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;__	0	0.000369549	0	0.000759071	0	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;__
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;__	0	0.000184775	0.000285551	0	0	0	0	0	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;__
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__MSBL9;f__KCLunmb-38-53	0	0.000184775	0.000285551	0.000607257	0	0	0	0	KCLunmb-38-53
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group	0	0.000184775	0.003426613	0.000455443	0	0	0	0	[Eubacterium]_coprostanoligenes_group
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	0	0.000184775	0.000285551	0.000455443	0.03030303	0	0	0	Polyangiaceae
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Nakamurellaceae	0	0.000184775	0	0.000151814	0	0	0	0	Nakamurellaceae
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacterales	0	0.000369549	0.000285551	0.000303628	0	0	0	0	Fibrobacterales
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured	0	0.000184775	0.000285551	0.001518142	0	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__PB19;f__PB19	0	0.000184775	0	0.000455443	0	0	0	0	PB19
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae	0	0.000184775	0.000285551	0.000607257	0	0	0	0	Bacteriovoracaceae
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae	0	0	0.01798972	0.000455443	0	0	0	0	Desulfobacteraceae
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae	0	0	0.012564249	0	0	0	0	0	Sulfurovaceae
d__Bacteria;p__WS2;c__WS2;o__WS2;f__WS2	0	0	0.001142204	0.000759071	0	0	0	0	WS2
d__Bacteria;p__Nitrospirota;c__4-29-1;o__4-29-1;f__4-29-1	0	0	0.000285551	0.000607257	0	0	0	0	4-29-1
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae	0	0	0.000285551	0.000455443	0	0	0	0	Reyranellaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__Defluviicoccaceae	0	0	0.000856653	0.000759071	0	0	0	0	Defluviicoccaceae
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7;f__Subgroup_7	0	0	0.000571102	0.000151814	0	0	0	0	Subgroup_7
d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__Endomicrobiaceae	0	0	0.000571102	0.000303628	0	0	0	0	Endomicrobiaceae
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Bradymonadales;f__Bradymonadales	0	0	0.001142204	0.000910885	0	0	0	0	Bradymonadales
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae	0	0	0.000285551	0.001366328	0	0	0	0	Rubinisphaeraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__CCD24;f__CCD24	0	0	0.000285551	0.000151814	0	0	0	0	CCD24
d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15	0	0	0.000571102	0.000151814	0	0	0	0	MBNT15
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae	0	0	0.001427756	0	0	0	0	0	Campylobacteraceae
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__MSBL9;f__GWC2-45-44	0	0	0.000571102	0	0	0	0	0	GWC2-45-44
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae	0	0	0.000285551	0.001366328	0	0	0	0	Pedosphaeraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae	0	0	0.000285551	0.000151814	0	0	0	0	Halomonadaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae	0	0	0.000571102	0	0	0	0	0	Erwiniaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__R7C24;f__R7C24	0	0	0.000285551	0.001366328	0	0	0	0	R7C24
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacterales	0	0	0.000856653	0	0	0	0	0	Desulfobacterales
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__WD2101_soil_group	0	0	0.000285551	0.000151814	0	0	0	0	WD2101_soil_group
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured	0	0	0.002855511	0.000759071	0	0	0	0	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__	0	0	0.000856653	0.001062699	0	0	0	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae	0	0	0.000571102	0.001214513	0	0	0	0	Devosiaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010	0	0	0.000285551	0.000151814	0	0	0	0	UCG-010
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae	0	0	0.001142204	0.000455443	0	0	0	0	Spongiibacteraceae
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadia;f__Geothermobacteraceae	0	0	0.000285551	0.000151814	0	0	0	0	Geothermobacteraceae
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae	0	0	0.000285551	0.000151814	0	0	0	0	Desulfurivibrionaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__1013-28-CG33;f__1013-28-CG33	0	0	0.000285551	0.000151814	0	0	0	0	1013-28-CG33
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae	0	0	0.000285551	0.000151814	0	0	0	0	Coxiellaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group	0	0	0.000285551	0.000151814	0	0	0	0	NS9_marine_group
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_17;f__Subgroup_17	0	0	0.000285551	0.001062699	0	0	0	0	Subgroup_17
d__Bacteria;p__Firmicutes;c__Clostridia;__;__	0	0	0.000571102	0	0	0	0	0	d__Bacteria;p__Firmicutes;c__Clostridia;__;__
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae	0	0	0.000285551	0.000151814	0	0	0	0	Gaiellaceae
d__Bacteria;p__Actinobacteriota;c__WCHB1-81;o__WCHB1-81;f__WCHB1-81	0	0	0.000285551	0.000151814	0	0	0	0	WCHB1-81
d__Bacteria;p__Firmicutes;c__Incertae_Sedis;o__DTU014;f__DTU014	0	0	0	0.000303628	0	0	0	0	DTU014
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Oligosphaerales;f__Lenti-02	0	0	0	0.000607257	0	0	0	0	Lenti-02
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae	0	0	0	0.000303628	0	0	0	0	Microtrichaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Kaistiaceae	0	0	0	0.000303628	0	0	0	0	Kaistiaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae	0	0	0	0.000910885	0	0	0	0	Cellvibrionaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	0	0	0	0.000303628	0	0	0	0	Alcaligenaceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Catellicoccaceae	0	0	0	0.001062699	0	0	0	0	Catellicoccaceae
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	0	0	0	0.001669956	0	0	0	0	Verrucomicrobiaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cytophagaceae	0	0	0	0.000303628	0	0	0	0	Cytophagaceae
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__053A03-B-DI-P58;f__053A03-B-DI-P58	0	0	0	0.000303628	0	0	0	0	053A03-B-DI-P58
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae	0	0	0	0.000607257	0	0	0	0	Nocardioidaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__A0839	0	0	0	0.000303628	0	0	0	0	A0839
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae	0	0	0	0.000455443	0	0	0	0	Geminicoccaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Labraceae	0	0	0	0.000303628	0	0	0	0	Labraceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12	0	0	0	0.000303628	0	0	0	0	SM2D12
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;f__Omnitrophales	0	0	0	0.000303628	0	0	0	0	Omnitrophales
d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae	0	0	0	0.000303628	0	0	0	0	Leptospiraceae
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__Kiritimatiellales;f__Kiritimatiellaceae	0	0	0	0.000303628	0	0	0	0	Kiritimatiellaceae
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45	0	0	0	0.000303628	0	0	0	0	JG30-KF-CM45
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__MA-28-I98C;f__MA-28-I98C	0	0	0	0.000455443	0	0	0	0	MA-28-I98C
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__ST-12K33	0	0	0	0.000303628	0	0	0	0	ST-12K33
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae	0	0	0	0.000303628	0	0	0	0	Chromobacteriaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__37-13	0	0	0	0.000455443	0	0	0	0	37-13
d__Bacteria;p__Myxococcota;__;__;__	0	0	0	0.000303628	0	0	0	0	d__Bacteria;p__Myxococcota;__;__;__
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales;f__uncultured	0	0	0	0.000303628	0	0	0	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales;f__uncultured
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	0	0	0	0.000303628	0	0.37971632	0.636642852	0.5	Enterobacteriaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Williamwhitmaniaceae	0	0	0	0.000303628	0	0	0	0	Williamwhitmaniaceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0	0	0	0.000303628	0	0.089589056	6.68E-05	0	Enterococcaceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae	0	0	0	0.000455443	0	0	0	0	Exiguobacteraceae
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;__	0	0	0	0.000303628	0	0	0	0	d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;__
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536	0	0	0	0.000303628	0	0	0	0	Ga0077536
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured	0	0	0	0.000303628	0	0	0	0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae	0	0	0	0	0	0.124124012	0	0	Listeriaceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0	0	0	0	0	0.093905926	0.002470455	0	Lactobacillaceae
d__Bacteria;p__Firmicutes;c__Bacilli;__;__	0	0	0	0	0	0.000112126	0	0	d__Bacteria;p__Firmicutes;c__Bacilli;__;__
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0	0	0	0	0	0	0.140014689	0	Streptococcaceae
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae	0	0	0	0	0	0	0.003138145	0	Helicobacteraceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0	0	0	0	0	0	0.002003071	0	Porphyromonadaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae	0	0	0	0	0	0	0.000600921	0	Neisseriaceae
